id,cas_number,rtecs_number,conversion,idlh,rel_and_pel,molecular_weight,boiling_point,melting_point,solubility,vapor_pressure,ionization_potential,specific_gravity,flash_point,upper_explosive_limit,lower_explosive_limit,relative_gas_density,minimum_explosive_concentration,combustibility,exposure_routes,symptoms,target_organs,personal_protection_and_sanitation,first_aid
0419,60-34-4,,1 ppm = 1.89 mg/m<sup>3</sup>,Ca [20 ppm],: Ca C 0.04 ppm (0.08 mg/m<sup>3</sup>) [2-hr] : C 0.2 ppm (0.35 mg/m<sup>3</sup>) [skin],46.1,190°F,-62°F,Miscible,38 mmHg,8.00 eV,Sp.Gr(77°F): 0.87,17°F,92%,2.5%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; vomiting, diarrhea, tremor, ataxia; anoxia, cyanosis; convulsions; [potential occupational carcinogen]","Eyes, skin, respiratory system, central nervous system, liver, blood, cardiovascular system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0420,74-88-4,,1 ppm = 5.80 mg/m<sup>3</sup>,Ca [100 ppm],: Ca TWA 2 ppm (10 mg/m<sup>3</sup>) [skin] : TWA 5 ppm (28 mg/m<sup>3</sup>) [skin],141.9,109°F,-88°F,1%,400 mmHg,9.54 eV,2.28,NA,NA,NA,,,Noncombustible Liquid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; nausea, vomiting; dizziness, ataxia; slurred speech, drowsiness; dermatitis; [potential occupational carcinogen]","Eyes, skin, respiratory system, central nervous system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0421,110-12-3,,1 ppm = 4.67 mg/m<sup>3</sup>,N.D.,: TWA 50 ppm (240 mg/m<sup>3</sup>)                  : TWA 100 ppm (475 mg/m<sup>3</sup>),114.2,291°F,-101°F,0.5%,5 mmHg,9.284 eV,0.81,97°F,UEL(200°F): 8.2%,LEL(200°F): 1.0%,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; headache, narcosis, coma; dermatitis; in animals: liver, kidney damage","Eyes, skin, respiratory system, central nervous system, liver, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0422,108-11-2,,1 ppm = 4.18 mg/m<sup>3</sup>,400 ppm,: TWA 25 ppm (100 mg/m<sup>3</sup>) ST 40 ppm (165 mg/m<sup>3</sup>) [skin]                  : TWA 25 ppm (100 mg/m<sup>3</sup>) [skin],102.2,271°F,-130°F,2%,3 mmHg,?,0.81,106°F,5.5%,1.0%,,,Class II Combustible Liquid: Fl.P. at or above 100°F and below 140°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin; headache, drowsiness; dermatitis; in animals: narcosis","Eyes, skin, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0423,624-83-9,,1 ppm = 2.34 mg/m<sup>3</sup>,3 ppm,: TWA 0.02 ppm (0.05 mg/m<sup>3</sup>) [skin]                  : TWA 0.02 ppm (0.05 mg/m<sup>3</sup>) [skin],57.1,102-104°F,-49°F,Sol(59°F): 10%,348 mmHg,10.67 eV,0.96,19°F,26%,5.3%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat; resp sensitization, cough, pulmonary secretions, chest pain, dyspnea (breathing difficulty); asthma; eye, skin damage; in animals: pulmonary edema","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0424,563-80-4,,1 ppm = 3.53 mg/m<sup>3</sup>,N.D.,: TWA 200 ppm (705 mg/m<sup>3</sup>)                  : none,86.2,199°F,-134°F,Very slight,42 mmHg,9.32 eV,0.81,?,?,?,,,Combustible Liquid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane, respiratory system; cough","Eyes, skin, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0425,74-93-1,,1 ppm = 1.97 mg/m<sup>3</sup>,150 ppm,: C 0.5 ppm (1 mg/m<sup>3</sup>) [15-minute]                  : C 10 ppm (20 mg/m<sup>3</sup>),48.1,43°F,-186°F,2%,1.7 atm,9.44 eV,0.90 (Liquid at 32°F),NA (Gas) (oc) 0°F (Liquid),21.8%,3.9%,1.66,,Flammable Gas,"inhalation, skin and/or eye contact (liquid)","irritation eyes, skin, respiratory system; narcosis; cyanosis; convulsions; liquid: frostbite","Eyes, skin, respiratory system, central nervous system, blood","() <strong>Skin:</strong> Prevent skin contact (liquid)/Frostbite                  <strong>Eyes:</strong> Prevent eye contact (liquid)/Frostbite                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash (liquid), Quick drench (liquid), Frostbite wash",()<strong>Eye:</strong> Irrigate immediately (liquid)/Frostbite                  <strong>Skin:</strong> Water flush immediately (liquid)/Frostbite                  <strong>Breathing:</strong> Respiratory support
0426,80-62-6,,1 ppm = 4.09 mg/m<sup>3</sup>,1000 ppm,: TWA 100 ppm (410 mg/m<sup>3</sup>)                  : TWA 100 ppm (410 mg/m<sup>3</sup>),100.1,214°F,-54°F,1.5%,29 mmHg,9.70 eV,0.94,Fl.P(oc): 50°F,8.2%,1.7%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat; dermatitis","Eyes, skin, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0427,298-00-0,,,N.D.,: TWA 0.2 mg/m<sup>3</sup> [skin]                  : none,263.2,289°F,99°F,Sol(77°F): 0.006%,0.00001 mmHg,?,1.36,?,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin; nausea, vomiting, abdominal cramps, diarrhea, salivation; headache, dizziness, lassitude (weakness, exhaustion); rhinorrhea (discharge of thin nasal mucus), chest tightness; blurred vision, miosis; cardiac irreg; muscle fasciculation; dyspnea (breathing difficulty)","Eyes, skin, respiratory system, central nervous system, cardiovascular system, blood cholinesterase","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0428,681-84-5,,1 ppm = 6.23 mg/m<sup>3</sup>,N.D.,: TWA 1 ppm (6 mg/m<sup>3</sup>)                  : none,152.3,250°F,28°F,Soluble,VP(77°F): 12 mmHg,?,1.02,205°F,?,?,,,Class IIIB Combustible Liquid: Fl.P. at or above 200°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, corneal damage (following even short-term exposure to the vapor); lung, kidney injury; pulmonary edema","Eyes, respiratory system, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0429,98-83-9,,1 ppm = 4.83 mg/m<sup>3</sup>,700 ppm,: TWA 50 ppm (240 mg/m<sup>3</sup>) ST 100 ppm (485 mg/m<sup>3</sup>)                  : C 100 ppm (480 mg/m<sup>3</sup>),118.2,330°F,-10°F,Insoluble,2 mmHg,8.35 eV,0.91,129°F,6.1%,1.9%,,,Class II Combustible Liquid: Fl.P. at or above 100°F and below 140°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat; drowsiness; dermatitis","Eyes, skin, respiratory system, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0430,21087-64-9,,,N.D.,: TWA 5 mg/m<sup>3</sup>: none,214.3,?,257°F,0.1%,0.0000004 mmHg,?,1.31,NA,NA,NA,,,Noncombustible Solid,"inhalation, ingestion, skin and/or eye contact","In animals: central nervous system depression; thyroid, liver enzyme changes","central nervous system, thyroid, liver",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Fresh air                  <strong>Swallow:</strong> Medical attention immediately
0431,12001-26-2,,,1500 mg/m<sup>3</sup>,: TWA 3 mg/m<sup>3</sup> (resp)                   (Mineral Dusts),797 (approx),?,?,Insoluble,0 mmHg (approx),NA,2.6-3.2,NA,NA,NA,,,Noncombustible Solid,"inhalation, skin and/or eye contact","irritation eyes; pneumoconiosis, cough, dyspnea (breathing difficulty); lassitude (weakness, exhaustion); weight loss",respiratory system,() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Breathing:</strong> Fresh air
0432,,,,N.D.,: TWA 3 fibers/cm<sup>3</sup> (fibers with diameter &lt; or = 3.5 µm &amp; length &gt; or = 10 µm.) TWA 5 mg/m<sup>3</sup> (total)                  : TWA 15 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp),varies,NA,?,Insoluble,0 mmHg (approx),NA,?,NA,NA,NA,,,Noncombustible Fibers,"inhalation, skin and/or eye contact","irritation eyes, skin, respiratory system; dyspnea (breathing difficulty)","Eyes, skin, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> Daily                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Breathing:</strong> Fresh air
0433,7439-98-7,,,5000 mg/m<sup>3</sup> (as Mo),: : TWA 15 mg/m<sup>3</sup> [*Note: The PEL also applies to other insoluble molybdenum compounds (as Mo).],95.9,8717°F,4752°F,Insoluble,0 mmHg (approx),NA,10.28,NA,NA,NA,,,Combustible Solid in form of dust or powder.,"inhalation, ingestion, skin and/or eye contact","In animals: irritation eyes, nose, throat; anorexia, diarrhea, weight loss; listlessness; liver, kidney damage","Eyes, respiratory system, liver, kidneys",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0434,,,,1000 mg/m<sup>3</sup> (as Mo),: : TWA 5 mg/m<sup>3</sup>,Properties vary depending upon the specific soluble molybdenum compound.,,,,,,,,,,,,,"inhalation, ingestion, skin and/or eye contact","In animals: irritation eyes, nose, throat; anorexia; incoordination; dyspnea (breathing difficulty); anemia","Eyes, respiratory system, kidneys, blood",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0435,6923-22-4,,,N.D.,: TWA 0.25 mg/m<sup>3</sup>: none,223.2,257°F,129°F,Miscible,0.000007 mmHg,?,?,&gt;200°F,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, miosis, blurred vision; dizziness, convulsions; dyspnea (breathing difficulty); salivation, abdominal cramps, nausea, diarrhea, vomiting; in animals: possible teratogenic effects","Eyes, respiratory system, central nervous system, cardiovascular system, blood cholinesterase, reproductive system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0436,100-61-8,,1 ppm = 4.38 mg/m<sup>3</sup>,100 ppm,: TWA 0.5 ppm (2 mg/m<sup>3</sup>) [skin]                  : TWA 2 ppm (9 mg/m<sup>3</sup>) [skin],107.2,384°F,-71°F,Insoluble,0.3 mmHg,7.32 eV,0.99,175°F,?,?,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","lassitude (weakness, exhaustion), dizziness, headache; dyspnea (breathing difficulty), cyanosis; methemoglobinemia; pulmonary edema; liver, kidney damage","respiratory system, liver, kidneys, blood, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0437,110-91-8,,1 ppm = 3.56 mg/m<sup>3</sup>,1400 ppm [10%LEL],: TWA 20 ppm (70 mg/m<sup>3</sup>) ST 30 ppm (105 mg/m<sup>3</sup>) [skin]                  : TWA 20 ppm (70 mg/m<sup>3</sup>) [skin],87.1,264°F,23°F,Miscible,6 mmHg,8.88 eV,1.007,Fl.P(oc): 98°F,11.2%,1.4%,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, nose, respiratory system; visual disturbance; cough; in animals: liver, kidney damage","Eyes, skin, respiratory system, liver, kidneys","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash (&gt;15%), Quick drench (&gt;25%)",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0438,8030-30-6,,1 ppm = 4.50 mg/m<sup>3</sup> (approx),1000 ppm [10% LEL],: TWA 100 ppm (400 mg/m<sup>3</sup>)                  : TWA 100 ppm (400 mg/m<sup>3</sup>),110 (approx),320-428°F,?,Insoluble,&lt;5 mmHg,?,0.89-0.97,100-109°F,?,?,,,Class II Combustible Liquid: Fl.P. at or above 100°F and below 140°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose; dizziness, drowsiness; dermatitis; in animals: liver, kidney damage","Eyes, skin, respiratory system, central nervous system, liver, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0439,91-20-3,,1 ppm = 5.24 mg/m<sup>3</sup>,250 ppm,: TWA 10 ppm (50 mg/m<sup>3</sup>) ST 15 ppm (75 mg/m<sup>3</sup>)                  : TWA 10 ppm (50 mg/m<sup>3</sup>),128.2,424°F,176°F,0.003%,0.08 mmHg,8.12 eV,1.15,174°F,5.9%,0.9%,,,"Combustible Solid, but will take some effort to ignite.","inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes; headache, confusion, excitement, malaise (vague feeling of discomfort); nausea, vomiting, abdominal pain; irritation bladder; profuse sweating; jaundice; hematuria (blood in the urine), renal shutdown; dermatitis, optical neuritis, corneal damage","Eyes, skin, blood, liver, kidneys, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Molten flush immediately/solid-liquid soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0440,3173-72-6,,1 ppm = 8.60 mg/m<sup>3</sup>,N.D.,: TWA 0.040 mg/m<sup>3</sup> (0.005 ppm) C 0.170 mg/m<sup>3</sup> (0.020 ppm) [10-minute]                  : none,210.2,505°F,261°F,?,VP(75°F): 0.003 mmHg,?,?,Fl.P(oc): 311°F,?,?,,,Combustible Solid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, nose, throat; resp sensitization, cough, pulmonary secretions, chest pain, dyspnea (breathing difficulty); asthma","Eyes, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0441,134-32-7,,,Ca [N.D.],: Ca,143.2,573°F,122°F,0.002%,VP(220°F): 1 mmHg,7.30 eV,1.12,315°F,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","dermatitis; hemorrhagic cystitis; dyspnea (breathing difficulty), ataxia, methemoglobinemia; hematuria (blood in the urine); dysuria; [potential occupational carcinogen]","Bladder, skin","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0442,91-59-8,,,Ca [N.D.],: Ca,143.2,583°F,232°F,Miscible in hot water,VP(226°F): 1 mmHg,9.71 eV,Sp.Gr(208°F): 1.06,315°F,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","dermatitis; hemorrhagic cystitis; dyspnea (breathing difficulty); ataxia; methemoglobinemia, hematuria (blood in the urine); dysuria; [potential occupational carcinogen]","Bladder, skin","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0443,62765-93-9,,,N.D.,:,mixture,?,?,?,?,?,?,?,?,?,,,,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin; urinary disturbance; neurological disorders; pins &amp; needles in hands &amp; feet; muscle weak, lassitude (weakness, exhaustion), nausea, vomiting; decreased nerve conduction in lower legs","Eyes, skin, urinary tract, peripheral nervous system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0444,13463-39-3,,1 ppm = 6.98 mg/m<sup>3</sup>,Ca [2 ppm],: Ca TWA 0.001 ppm (0.007 mg/m<sup>3</sup>) : TWA 0.001 ppm (0.007 mg/m<sup>3</sup>),170.7,110°F,-13°F,0.05%,315 mmHg,8.28 eV,Sp.Gr(63°F): 1.32,&lt;-4°F,?,2%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, ingestion, skin absorption, skin and/or eye contact","headache, dizziness; nausea, vomiting, epigastric pain; substernal pain; cough, hyperpnea; cyanosis; lassitude (weakness, exhaustion); leukocytosis (increased blood leukocytes), pneumonitis; delirium, convulsions; [potential occupational carcinogen]; in animals: reproductive, teratogenic effects","Lungs, paranasal sinus, central nervous system, reproductive system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0445,7440-02-0 (Metal),,,Ca [10 mg/m<sup>3</sup> (as Ni)],*: Ca TWA 0.015 mg/m<sup>3</sup> : TWA 1 mg/m<sup>3</sup> [*Note: The PEL does not apply to Nickel carbonyl.],58.7,5139°F,2831°F,Insoluble,0 mmHg (approx),NA,8.90 (Metal),NA,NA,NA,,,Metal: Combustible Solid; nickel sponge catalyst may ignite SPONTANEOUSLY in air.,"inhalation, ingestion, skin and/or eye contact","sensitization dermatitis, allergic asthma, pneumonitis; [potential occupational carcinogen]","Nasal cavities, lungs, skin",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0446,54-11-5,,,5 mg/m<sup>3</sup>,: TWA 0.5 mg/m<sup>3</sup> [skin]                  : TWA 0.5 mg/m<sup>3</sup> [skin],162.2,482°F (Decomposes),-110°F,Miscible,0.08 mmHg,8.01 eV,1.01,203°F,4.0%,0.7%,,,Class IIIB Combustible Liquid: Fl.P. at or above 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","nausea, salivation, abdominal pain, vomiting, diarrhea; headache, dizziness, hearing, visual disturbance; confusion, lassitude (weakness, exhaustion), incoordination; cardiac arrhythmias; convulsions, dyspnea (breathing difficulty); in animals: teratogenic effects","central nervous system, cardiovascular system, lungs, gastrointestinal tract, reproductive system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0447,7697-37-2,,1 ppm = 2.58 mg/m<sup>3</sup>,25 ppm,: TWA 2 ppm (5 mg/m<sup>3</sup>) ST 4 ppm (10 mg/m<sup>3</sup>)                  : TWA 2 ppm (5 mg/m<sup>3</sup>),63.0,181°F,-44°F,Miscible,48 mmHg,11.95 eV,Sp.Gr(77°F): 1.50,NA,NA,NA,,,"Noncombustible Liquid, but increases the flammability of combustible materials.","inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; delayed pulmonary edema, pneumonitis, bronchitis; dental erosion","Eyes, skin, respiratory system, teeth","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash (pH&lt;2.5), Quick drench (pH&lt;2.5)",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
